Title,ID,Created Date,Updated Date,Owner,Category,VNDRs (List),VNDRs (Item),VNDRs (List).1,VNDRs (Item).1,Offers,Location,Founders,link ,Contact Info,Phone Number,Description,Logo,Portfolio
Sweet Cone TX,56ae7485-3570-4cda-a3e5-7fa62994ac40,2025-06-30T05:04:33Z,2025-06-30T15:31:31Z,448c141b-a9bf-4494-a5a4-98ec3c5a2042,Food Vendors,/vndrs/,/vndrs/sweet-cone-tx,/vndrs/,/vndrs/sweet-cone-tx,"Ice Cream Truck Service
We serve a variety of premium soft-serve and hard-scoop ice cream flavors, cones, and sundaes from our fully equipped and licensed mobile truck.

🥤 Specialty Milkshakes
Our signature milkshakes — including exclusive flavors like the Flariez Milkshake — are crowd favorites that blend bold taste with eye-catching presentation.

🍧 Frozen Desserts & Treats
We offer a rotating menu of frozen delights, including slushies, floats, sorbets, and international-inspired desserts.

🎉 Event Catering
Perfect for festivals, school events, weddings, birthdays, corporate events, and more. We bring the full Sweet Cone experience to your location.

🏳️‍🌈 Festival & Pride Event Vendor
Proud participant in events like Washington DC World Pride, Dallas Pride, and more — bringing color, flavor, and fun to inclusive celebrations.

🌎 Multicultural Dessert Concepts
We feature globally-inspired flavors and unique twists that set us apart from traditional dessert trucks.

🚚 Mobile Pop-Up Experience
Beyond just ice cream, our truck provides a fun, branded experience with music, decorations, and a friendly atmosphere that makes any event feel special.",Texas,Jay Harbi,http://Www.sweetcones.com,Serajalharbi35@icloud.com,2072674330.0,"Sweet Cone Ice Cream is a vibrant, mobile ice cream truck business serving communities across Texas. We specialize in delivering high-quality, flavorful ice cream, milkshakes, and desserts with a creative twist — including exclusive menu items you won’t find anywhere else, like our famous Flariez milkshake, international-inspired blends, and seasonal favorites.

More than just a dessert truck, Sweet Cone is an experience on wheels. From local festivals and street fairs to large-scale events like Pride celebrations and cultural gatherings, we bring the sweet vibes, bold flavors, and friendly energy wherever we go.",wix:image://v1/448c14_8ab6a0ac40ad4c519a9971736904f3b9~mv2.png/F68FCDB1-8D88-4F8A-8AC3-5045C398B8B3.png#originWidth=1024&originHeight=1024,wix:image://v1/448c14_173adf805b504cc598cf98c5178edc2b~mv2.png/F68FCDB1-8D88-4F8A-8AC3-5045C398B8B3.png#originWidth=1024&originHeight=1024
Event by Lindsay,59152ecc-9d62-41a7-bc95-8ee6bf8b5714,2025-06-30T13:24:42Z,2025-06-30T15:31:28Z,d3427254-ddf7-463c-aaa4-4bee688332e2,Food Vendors,/vndrs/,/vndrs/event-by-lindsay,/vndrs/,/vndrs/event-by-lindsay,"Catering, Full Bakery, Balloons and Backdrops, Floral and Decor, and Event Coordination","Pearland, Friendswood, League City",Lindsay Benoit,http://Www.Eventsbylindsay.com,Lindsaybenoitevents@gmail.com,3188018387.0,A one stop shop to take all the worry out of planning your event.,wix:image://v1/d34272_937092e9c8264cfc94bbdba7e75d5b3f~mv2.png/pink%20over%20the%20stand.png#originWidth=500&originHeight=500,wix:image://v1/d34272_a95294e3bb9f4c25a33e7c8b7d617a14~mv2.jpeg/PicTapGo-2025-06-03-211852.jpeg#originWidth=1288&originHeight=862
Wecanprintit 3D,5a4c77f1-2aed-4b11-a870-9c2b450b21c3,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Party Favors,/vndrs/,/vndrs/wecanprintit-3d,/vndrs/,/vndrs/wecanprintit-3d,"3D printed florist, quality party favors",,Michelle Mazur-Armstrong,https://www.etsy.com/shop/wecanprintit3d/?etsrc=sdt&fbclid=IwY2xjawLBmVJleHRuA2FlbQIxMABicmlkETF6WGZxUHZQc21XcTJCdVNKAR72QXd26U38aE25AmeWZAGWK1vto6WR-YSlcUStiYAEeuoUecR8_SUWgvnQQQ_aem_K-rX8K9KiWKs03wqiODL-Q,,,,,
Grannys Custom Life sized pinatas,61183f8a-87a9-4a02-8735-2cfa1f21457a,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Pinatas,/vndrs/,/vndrs/grannys-custom-life-sized-pinatas,/vndrs/,/vndrs/grannys-custom-life-sized-pinatas,Pinatas/ crafts (mutli buisness) ,,Carrie Ann,https://www.facebook.com/people/Grannys-Custom-LifeSize-Piñatas/61550978392897/,,,,,
Blackbird Botanicals,62d56e50-c5d0-44cd-820b-7aa41ca0456d,2025-06-30T13:18:16Z,2025-06-30T15:31:30Z,a38385b4-3635-47bd-93ac-f53da2e1b3f2,Gift Shop,/vndrs/,/vndrs/blackbird-botanicals,/vndrs/,/vndrs/blackbird-botanicals,Mobile DIY Perfume Roller Bar - a hands on scent creating experience your guests will love,HQ-Friendswood   we are mobile,Gia White,http://blackbirdbotanicals.org  @blackbirdbotanicals24,blackbirdbotanicals24@gmail.com,7025288289.0,"Specializing in Handcrafted Candles & Gifts; including a interactive diy perfume roller bar (choose from signature scents or create your own), wax melts, hand-dipped incense, shea butter soaps & lotions, gift sets, + more",wix:image://v1/a38385_cc1c8f38ca9e4cfa8bdab6b5d529a865~mv2.png/logo%20handcrafted.png#originWidth=380&originHeight=380,wix:image://v1/a38385_ab3992159d5645d18ae04547ae13e181~mv2.jpg/ipad%206%20bird%20top.jpg#originWidth=1166&originHeight=869
VIVA Rentals,686cbeeb-0737-42b0-9802-230e163f70d4,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Bounce Rentals,/vndrs/,/vndrs/viva-rentals,/vndrs/,/vndrs/viva-rentals,"moonwalks, tables, chairs, cocktail tables, RR & more","Pearland, TX",Jose Vargas,https://www.facebook.com/VIVARentals,viva.360rentals@gmail.com,,,,
UNMatchable Gem Events,724d2c33-60fe-4f9b-81e7-e1a8d6af0801,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Entertainment ,/vndrs/,/vndrs/unmatchable-gem-events,/vndrs/,/vndrs/unmatchable-gem-events,Graphic Event Designer,"Houston, TX",Inez Jarmon,https://www.instagram.com/unmatchablegemzevents/,,,,,
Bloom Wild Apparel Co.,75a3d4d7-7a0a-4ae7-a867-283a3a4ba35b,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Apparel ,/vndrs/,/vndrs/bloom-wild-apparel-co.,/vndrs/,/vndrs/bloom-wild-apparel-co.,Apparel,"Galveston, TX",Trevor Penny Graham,https://www.facebook.com/profile.php?id=61569760412285,,,,,
Penny Accents,762d72b2-c4ce-4049-ac13-4f74e6bd2132,2025-06-30T16:14:00Z,2025-06-30T16:14:00Z,3eefe712-d228-4d24-83b8-0287559435c6,Apparel,/vndrs/,/vndrs/penny-accents,/vndrs/,/vndrs/penny-accents,"Custom Shirts/outfits
Custom Hats",Alvin,Heather Lynch,https://www.facebook.com/Pennyaccents,pennyaccents18@gmail.com,3462217131.0,"Custom shirts, outfits, and/or hat for any occasion or event. I currently offer sublimation, DTF, and/or Vinyl on any clothing from shirts, sweatshirts, pants, etc. ",wix:image://v1/3eefe7_9799c07a2e494e21aa76a8904dff7b57~mv2.jpg/LogoPennyAccents.jpg#originWidth=3206&originHeight=2936,wix:image://v1/3eefe7_01f897cee578439ca0bbc037974ad355~mv2.jpg/a614d4ef-420a-4e0f-855a-acc21096a0d4.jpg#originWidth=1536&originHeight=2048
Traugott Customs,79a53f52-eb5f-4756-a8c6-bd27844ade33,2025-06-30T19:36:47Z,2025-06-30T19:36:47Z,1407aad7-84dd-492e-a44f-7a79e7177dfb,Apparel,/vndrs/,/vndrs/traugott-customs,/vndrs/,/vndrs/traugott-customs,"Custom apparel, Snowglobe tumblers, Glassware, Koozies, Puzzles, Banners, Flyers, gifts, decorations, party favors, clay art, resin art, and so much more! ","Alvin, Texas",Jax Traugott,https://www.etsy.com/shop/traugottcustoms,jmnps97@yahoo.com,2819002846.0,"Your one stop shop for anything custom! I used to specialize in just acrylic paintings and resin work, but I've broadened my expertise to much more! I love a challenge and I love being able to bring someone's vision to life. I use DTF (Direct to Fabric) on all apparel so the print binds with the fabric, ensuring longevity of the products. 
I work closely with local businesses for their staff & retail shirts, as well as small custom orders. ",wix:image://v1/1407aa_fcce2408ed564616b1b45c20b81e1c1e~mv2.png/Black%20Logo.png#originWidth=15000&originHeight=15000,wix:image://v1/1407aa_7a588af68a54442fa148ce1af7266c7f~mv2.png/SNowglobes.png#originWidth=2025&originHeight=2025
Jumping Jellybeans,7e448e8c-de5c-412c-a45c-52ecabfde911,2025-06-30T12:29:58Z,2025-06-30T12:29:58Z,12b0fa50-7771-40e1-aa12-c47d42e9ed0b,Rentals,/vndrs/,/vndrs/jumping-jellybeans,/vndrs/,/vndrs/jumping-jellybeans,"Inflatable Rentals
	•	Standard bounce houses
	•	Water slides
	•	Combo units (bounce house with attached slide)
	•	Themed inflatables (such as Tiki Island, Fairy Tale, etc.)

Table & Chair Rentals
	•	6 ft folding tables
	•	Folding chairs
	•	Standard rental packages (e.g., 3 tables and 18 chairs for $50)
	•	Additional tables and chairs available upon request

Concession Machine Rentals
	•	Cotton candy machines
	•	Snow cone machines
	•	Popcorn machines
	•	Each machine includes supplies for approximately 25–30 servings

Bundle Packages
	•	Pre-set party bundles combining inflatables, tables, chairs, and concessions
	•	Customizable bundles available based on event size and needs
	•	Discounted pricing available when bundling multiple services",Greater Houston Area,Mary Sanchez,https://thejumpingjellybeans.com/,Jumpingjellybeansrentals@outlook.com,8328557255.0,"At Jumping Jellybeans, we bring the fun straight to your backyard! We’re a family-owned and operated party rental business dedicated to making celebrations unforgettable with clean, safe, and colorful inflatables, concession machines, tables, chairs, and more.

Whether you’re planning a birthday party, school event, church gathering, or community celebration, we’ve got everything you need to keep the kids jumping and the good times rolling.

We pride ourselves on reliable service, affordable pricing, and a hassle-free setup and takedown experience—so you can focus on making memories while we handle the rest.
",wix:image://v1/12b0fa_13a5c1778f734c2d9344f6ddff4c4f30~mv2.png/IMG_2673.png#originWidth=1280&originHeight=872,wix:image://v1/12b0fa_5aec9fb4c5fb4f9fb03041b933c7fa97~mv2.jpeg/IMG_1347.jpeg#originWidth=5712&originHeight=4284
Chic Event Carts,8375215d-cf71-4568-8f8b-2b73a6a78424,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Event Carts,/vndrs/,/vndrs/chic-event-carts,/vndrs/,/vndrs/chic-event-carts,Luxury Event Carts,"Kemah, TX",Stacie Coslett,https://www.facebook.com/profile.php?id=61577080256379,admin@chiceventcarts.com,,,,
Jims Jungle Petting Zoo,85e3e620-fdad-418b-9b06-89f81cdf4e36,2025-06-29T18:22:43Z,2025-06-30T15:31:34Z,423e582c-1297-43a9-bf42-f92f6fab1c88,Entertainment,/vndrs/,/vndrs/jims-jungle-petting-zoo,/vndrs/,/vndrs/jims-jungle-petting-zoo,We come to you and setup a petting zoo ,Alvin and surrounding areas ,Kelly ,http://Jims jungle petting zoo on Facebook ,Jimsjunglepettingzoo@icloud.com,,Mobile petting zoo ,wix:image://v1/423e58_da8e5da33776465e8d9bbfa4b3e90a7c~mv2.jpeg/IMG_4632.jpeg#originWidth=500&originHeight=500,wix:image://v1/423e58_0d01a6e26e9545e8ac0195ee3e5cec06~mv2.jpeg/IMG_3443.jpeg#originWidth=3024&originHeight=4032
April Dawn Art Works,98784d66-7726-443e-89f3-8b351aeff1a3,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Decor,/vndrs/,/vndrs/april-dawn-art-works,/vndrs/,/vndrs/april-dawn-art-works,Custom Art (overalls/ yard decor),,April Mendoza,https://www.facebook.com/profile.php?id=100064207471950,,,,,
M2F Content Creation,a88d7494-b770-4d71-8829-54d06bd27ea5,2025-06-28T14:27:18Z,2025-07-01T02:39:15Z,a4de7ed5-6661-4747-beec-cc2a2ef7ebb9,Content,/vndrs/,/vndrs/m2f-content-creation,/vndrs/,/vndrs/m2f-content-creation,Content Creation for any and all events! ,"Alvin, Tx",Sommer Rogers,http://M2F Content Creation ,Leighs96@icloud.com,,"Wedding & Event Content Creator!
I am your storyteller, capturing candid videos, behind-the-scenes moments, and real-time memories that you’ll look back on forever!",wix:image://v1/a4de7e_8b1a52c950244d0bbe1e7ee62707804c~mv2.png/IMG_9001.png#originWidth=500&originHeight=500,wix:image://v1/a4de7e_cfcdfa84a5ae4e37bb080bc67e73acef~mv2.jpeg/BDE6217E-253B-455B-BE67-7217418BEC80.jpeg#originWidth=2205&originHeight=2940
Neena’s Sweets ,ab7ebaa8-922e-4779-af5e-2b6667fa28c3,2025-06-29T15:21:33Z,2025-06-29T15:21:33Z,a3e9f644-98e2-4d75-a5ba-b53b20b5b88a,Bakery,/vndrs/,/vndrs/neena%E2%80%99s-sweets-,/vndrs/,/vndrs/neena%E2%80%99s-sweets-,"All treats are sold by the dozen. 
Add-ons such as chocolate design, color other than white and brown, and nuts are an additional $5 per order.
Party packages have no extra charge for any add-ons. (Not including silk bows and individual packing)

Chocolate Covered Strawberries $35

Rice Krispy Treats $35

Pretzels $35

Oreos $35

Cake Pops
          •Flavors: Vanilla, Chocolate,
           Red Velvet, Funfetti

Cakesickles $35
          •Flavors: Vanilla, Chocolate,
            Red Velvet, Funfetti

Party packages: 

Small Party Package(6doz): $200
Chocolate Covered Strawberries 
Rice Krispy Treats 
Pretzels 
Oreos 
(2doz) Cakesickles/cakepops 

Medium Party Package(11doz): $370
(2doz) Chocolate Covered Strawberries 
(2doz) Rice Krispy Treats 
(2doz) Pretzels 
(2doz) Oreos 
(3doz) Cakesickles/cakepops

Large Party Package(16doz): $530

(3doz) Chocolate Covered Strawberries 
(3doz) Rice Krispy Treats 
(3doz) Pretzels 
(3doz) Oreos 
(4doz) Cakesickles/cakepops

    ",Katy Tx ,Neena ,https://bakesy.shop/b/neenas-sweets,Neenas.sweets@gmail.com,,"All your dessert needs! 
Elevate your dessert tables/party favors with customized dipped treats for any and all occasions! ✨🍫",wix:image://v1/a3e9f6_40ed8b698d3845c9bf58909b79b8dc28~mv2.jpeg/IMG_1311.jpeg#originWidth=2048&originHeight=2048,wix:image://v1/a3e9f6_397f7932667d47cb8aa489ba1afbe7ae~mv2.jpeg/IMG_6186.jpeg#originWidth=3024&originHeight=4032
Kellys crafts and things,b81fa6c2-933a-45e6-8103-6033efe3e92b,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Pinatas,/vndrs/,/vndrs/kellys-crafts-and-things,/vndrs/,/vndrs/kellys-crafts-and-things,Pinatas/ Lawn Letters,,Kelly Romero,Personal Verification (FB Market),,,,,
Sweet memories photo booth inc.,bab11ed6-06e9-4b7f-a94e-6d53380ada81,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Rentals,/vndrs/,/vndrs/sweet-memories-photo-booth-inc.,/vndrs/,/vndrs/sweet-memories-photo-booth-inc.,photobooth rental,"Webster, TX",Ada Acosta,https://www.facebook.com/sweetmemoriesphotoboothinc/,sweetmemoriesphotobooth19@gmail.com,,,,
Cleo’s Confections,bda5ad7c-a3cc-44d8-9e5b-e4a5c9590cc0,2025-06-28T13:28:14Z,2025-06-28T13:28:14Z,c31e63fd-ae02-45af-8b3b-ab6e1e44bdb4,Bakery,/vndrs/,/vndrs/cleo%E2%80%99s-confections,/vndrs/,/vndrs/cleo%E2%80%99s-confections,"I make cake pops, cookie cakes, and mini cookie cups.","League City, TX",Nicole Laukaitis,https://www.facebook.com/share/1K2GQNujuT/?mibextid=wwXIfr,cleosconfectionstx@gmail.com,8322108663.0,"Cleo’s Confections is a home-based bakery in League City specializing in handcrafted cake pops, cookie cakes, and mini cookie cups. Every sweet treat is made with premium ingredients and a passion for detail, bringing a personal touch to parties, gifts, and everyday indulgences. From fun themed designs to rich, chocolatey bites, Cleo’s Confections is your go-to for desserts that look just as good as they taste. Custom orders are welcome, and seasonal specials are always baking!",wix:image://v1/c31e63_211cd0c4bad443e0993926e7e69a16c3~mv2.jpeg/IMG_1334.jpeg#originWidth=1206&originHeight=1170,wix:image://v1/c31e63_a6827be09aab4b9c8bd4fcf30f059dec~mv2.jpeg/IMG_1643.jpeg#originWidth=3024&originHeight=4032
Magical Vacation Planner by Dana Nichols,c02fd439-eb5a-4bfe-b0f7-2205606fd627,2025-06-28T15:10:10Z,2025-06-28T15:10:10Z,e78b75fb-afcb-4896-bbc7-f4d0c2540d6a,Entertainment,/vndrs/,/vndrs/magical-vacation-planner-by-dana-nichols,/vndrs/,/vndrs/magical-vacation-planner-by-dana-nichols,"✨ My Travel Planning Services – Always 100% FREE! ✨
When you book with Magical Vacation Planner by Dana Nichols, you’re getting more than just a reservation—you’re getting a full-service travel concierge to help make your trip as smooth and magical as possible.

Here’s what I provide at no extra cost to you:

🌍 Personalized Vacation Planning

Custom itineraries tailored to your preferences, travel style, and budget

Recommendations based on real experience—because I travel too!

🏰 Theme Park Vacations (Disney, Universal & More)

Park ticket guidance

Lightning Lane & Genie+ tips

Dining reservations and character meals

Enchanting extras like Bibbidi Bobbidi Boutique, dessert parties & more

🛳 Cruise Planning (Disney Cruise Line, Royal Caribbean, Carnival, NCL, and more)

Cabin selection assistance

Onboard activity & excursion planning

Loyalty benefits maintained

Post-booking deal monitoring

🏝️ All-Inclusive Resorts & International Travel

Adult-only and family-friendly options

Private transfers & excursions

Travel insurance recommendations

Honeymoon, anniversary, and group planning

✈️ Stress-Free Booking

Most trips only require a small deposit

Flexible payment plans available

I monitor for discounts and price drops—even after booking

Quick responses via call, text, or email—no long hold times!

💬 Ongoing Support Before & During Travel

Tips, reminders & travel prep emails

Priority assistance while you travel

Local recommendations and must-do’s

You’re not just booking a trip—you’re supporting a small business that proudly gives back to the local community.","Alvin, Texas ",Dana Nichols,https://www.facebook.com/MVPDANANICHOLS/,d.nichols@magicalvacatonplanner.com,2812047970.0,"At Magical Vacation Planner by Dana Nichols, I specialize in creating personalized, stress-free travel experiences for families, couples, groups, and solo travelers. Whether you're dreaming of a magical Disney getaway, a thrilling Universal Studios adventure, a relaxing cruise, or an all-inclusive tropical escape, I’m here to help make it happen—at no extra cost to you.

With my expert planning services, you’ll receive:

Customized itineraries tailored to your travel style

Assistance with dining reservations, excursions, and special experiences

Ongoing deal monitoring—even after you book

Insider tips and destination knowledge from a planner who travels

Direct access to me—no 1-800 numbers or long hold times

My services are 100% free—commission is already built into your vacation package whether you book with me or on your own. So why not use a local travel expert who supports your community, sponsors local events, and truly cares about making your trip unforgettable?",wix:image://v1/e78b75_75eb4c8c61fa48c9bcb24c19977e6728~mv2.png/By.png#originWidth=1002&originHeight=731,wix:image://v1/e78b75_57c3b2231cc04a7a9ff757e3f71a163e~mv2.png/Add%20a%20little%20bit%20of%20body%20text.png#originWidth=1545&originHeight=2000
Forever & Co. PJ,c295e2db-8cda-4c56-b2ca-45c09bb6831f,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Entertainment ,/vndrs/,/vndrs/forever-%26-co.-pj,/vndrs/,/vndrs/forever-%26-co.-pj,Permanent Jewlery ,"Galveston, TX",Shay Odgen Reynolds,https://www.facebook.com/profile.php?id=61552413422180,,,,,
La Vie En Fleur Bloom Bar LLC,c4eaa003-a745-46c3-b509-aee22d46d482,2025-06-29T21:10:59Z,2025-06-30T15:31:32Z,2a017a88-084a-4488-ba30-28f07652a74c,Florists / Flowers,/vndrs/,/vndrs/la-vie-en-fleur-bloom-bar-llc,/vndrs/,/vndrs/la-vie-en-fleur-bloom-bar-llc,"•Mobile Flower Bar Setup – Parisian-inspired flower bar with table styling and backdrop options
•Flexible Packages – Ideal for bridal showers, baby showers, birthday parties, corporate events, pop-ups, and more
•Delivery, Setup & Breakdown – Available within Galveston County and surrounding areas
•Custom Floral Sourcing – Seasonal or imported blooms tailored to your event theme
•DIY Bouquet Experience – Guests handpick and wrap their own fresh or dried floral arrangements",Galveston County,Angelica Alvarado ,http://La Vie En Fleur Bloom Bar,lavieenfleurbloombar@gmail.com,,"La Vie En Fleur Bloom Bar is a luxury mobile flower bar serving Galveston County and surrounding areas. We bring an interactive floral experience to your event with a Parisian-inspired setup where guests can create their own fresh or dried flower bouquets. Perfect for bridal showers, birthdays, corporate events, and more—our Bloom Bar adds a unique, hands-on element that leaves a lasting impression. We offer beautifully styled rentals, curated florals, and all the essentials needed to make your event bloom with charm and creativity.",wix:image://v1/2a017a_a8e94e56209c47998bfb1f19e4c7cd17~mv2.png/FA049A31-6F35-4462-8B79-28B2CA9B0B12.png#originWidth=1024&originHeight=1024,wix:image://v1/2a017a_8f006a1de62d49d683f3d2641bef13f0~mv2.png/601E7094-6B03-4BE1-A135-57489A0630F0.png#originWidth=1024&originHeight=1536
I Am Lemon,dd685c1f-e5ca-4a8a-a407-002b1ca4c359,2025-06-27T17:31:45Z,2025-06-27T17:31:45Z,0b84c458-640f-4e7a-b9e5-fd9099af5c93,Food Vendors,/vndrs/,/vndrs/i-am-lemon,/vndrs/,/vndrs/i-am-lemon,Lemonade stand,"Houston, TX",Nadia Tapia,'@iamlemonlemonade (tik tok) ,iamlemonlemonade@gmail.com,,,,
